Name,WHO Region,Cases - cumulative total,Cases - cumulative total per 1 million population,Cases - newly reported in last 7 days,Cases - newly reported in last 24 hours,Deaths - cumulative total,Deaths - cumulative total per 1 million population,Deaths - newly reported in last 7 days,Deaths - newly reported in last 24 hours,Transmission Classification
Global,,88120981,11288.428660705076,4915451,836678,1914378,245.2346675830046,85271,14645,
United States of America,Americas,21761186,65743.24,1786773,313516,365886,1105.39,20633,3599,Community transmission
India,South-East Asia,10450284,7572.65,126319,36867,150999,109.42,1564,429,Clusters of cases
Brazil,Americas,8013708,37701.03,313130,52035,201460,947.78,6049,962,Community transmission
Russian Federation,Europe,3379103,23154.94,166466,23309,61381,420.61,3379,470,Clusters of cases
The United Kingdom,Europe,2957476,43565.32,415407,68053,79833,1175.99,5708,1325,Community transmission
France,Europe,2701658,41389.81,105997,19408,67049,1027.2,2662,589,Community transmission
Italy,Europe,2237890,37013.27,108514,17529,77911,1288.6,3290,620,Clusters of cases
Spain,Europe,2025560,43323.06,65376,0,51690,1105.56,436,0,Community transmission
Germany,Europe,1891581,22576.89,136230,24694,39878,475.96,5918,1083,Community transmission
Colombia,Americas,1755568,34502.13,100688,18221,45431,892.85,1936,364,Community transmission
Argentina,Americas,1703352,37688.3,73758,13346,44273,979.58,954,151,Community transmission
Mexico,Americas,1507931,11695.48,70746,14362,132069,1024.32,5562,1038,Community transmission
Turkey,Europe,1493243,17705.23,86726,11479,22450,266.19,1357,186,Community transmission
Poland,Europe,1376389,36367.56,63609,10744,31011,819.39,1953,437,Community transmission
Iran (Islamic Republic of),Eastern Mediterranean,1280438,15244.59,42964,5924,56100,667.91,662,82,Community transmission
South Africa,Africa,1192570,20107.85,135009,21980,32425,546.72,3956,616,Community transmission
Ukraine,Europe,1110015,25381.19,40498,4846,19668,449.72,937,80,Community transmission
Peru,Americas,1029471,31222.72,12272,2781,38145,1156.9,421,96,Community transmission
Netherlands,Europe,858914,50126.67,54071,8169,12171,710.31,651,89,Community transmission
Czechia,Europe,822716,76824.86,87247,13115,12978,1211.88,1151,178,Community transmission
Indonesia,South-East Asia,818386,2992.01,59913,10046,23947,87.55,1392,194,Community transmission
Romania,Europe,663779,34504.09,27578,4821,16506,858,665,96,Community transmission
Belgium,Europe,660703,57008.15,11148,0,19992,1724.99,317,0,Community transmission
Canada,Americas,644348,17072.37,56071,9214,16707,442.66,966,128,Community transmission
Chile,Americas,637742,33361.34,21840,4361,17037,891.23,313,63,Community transmission
Iraq,Eastern Mediterranean,602331,14974.98,5298,907,12881,320.24,52,4,Community transmission
Bangladesh,South-East Asia,521382,3165.85,6198,692,7756,47.09,157,22,Community transmission
Pakistan,Eastern Mediterranean,499517,2261.36,15155,2007,10598,47.98,340,40,Clusters of cases
Sweden,Europe,489471,48466,34622,7138,9433,934.03,93,0,Community transmission
Philippines,Western Pacific,485797,4433.22,8881,1945,9398,85.76,145,34,Community transmission
Switzerland,Europe,475604,54953.76,23133,3213,7545,871.79,449,71,Community transmission
Israel,Europe,473212,54671.61,47630,7597,3578,413.38,240,32,Community transmission
Portugal,Europe,466709,45770.55,46080,10176,7590,744.36,618,118,Clusters of cases
Morocco,Eastern Mediterranean,451637,12235.98,9496,1416,7709,208.86,257,24,Clusters of cases
Austria,Europe,375664,41710.79,14192,2001,6572,729.7,395,68,Community transmission
Saudi Arabia,Eastern Mediterranean,363692,10446.76,713,110,6286,180.56,47,4,Sporadic cases
Serbia,Europe,356125,51139.73,16128,2218,3513,504.47,263,34,Community transmission
Hungary,Europe,340459,35242.92,13771,2716,10554,1092.51,773,114,Community transmission
Jordan,Eastern Mediterranean,305959,29986.77,9291,796,4009,392.92,132,20,Community transmission
Japan,Western Pacific,280775,2219.98,39821,7621,3996,31.59,448,64,Clusters of cases
Panama,Americas,273037,63279.66,23304,3946,4363,1011.18,299,42,Community transmission
Nepal,South-East Asia,264521,9078.59,3083,362,1912,65.62,42,3,Clusters of cases
Georgia,Europe,238086,59683.14,9334,2058,2750,689.37,178,22,Community transmission
United Arab Emirates,Eastern Mediterranean,227702,23022.52,16061,2998,702,70.98,28,5,Community transmission
Azerbaijan,Europe,223417,22035.02,4376,532,2869,282.96,199,24,Clusters of cases
Ecuador,Americas,220349,12489.28,5836,1201,14177,803.55,118,12,Community transmission
Croatia,Europe,219347,53430.63,7085,1401,4342,1057.67,326,38,Community transmission
Lebanon,Eastern Mediterranean,215553,31580.8,29145,5414,1590,232.95,114,20,Community transmission
Belarus,Europe,208601,22075.76,12378,1805,1498,158.53,65,9,Community transmission
Bulgaria,Europe,208012,29936.48,5472,753,8078,1162.56,474,61,Clusters of cases
Kazakhstan,Europe,206840,11015.78,3960,0,2845,151.52,96,0,Clusters of cases
Slovakia,Europe,205236,37591.48,18992,4072,2836,519.45,586,48,Clusters of cases
Dominican Republic,Americas,180644,16652.42,7679,2106,2424,223.45,8,0,Community transmission
Denmark,Europe,178497,30816.78,12567,1660,1517,261.9,195,30,Community transmission
Costa Rica,Americas,177614,34866.49,7023,1207,2305,452.48,112,19,Community transmission
Bolivia (Plurinational State of),Americas,171154,14662.36,9099,2263,9328,799.11,142,24,Community transmission
Armenia,Europe,161794,54600.31,2056,379,2922,986.08,94,14,Community transmission
Lithuania,Europe,158180,58105.51,12781,1641,2171,797.49,557,52,Community transmission
Tunisia,Eastern Mediterranean,157514,13327.61,15535,2611,5153,436.01,388,45,Community transmission
Kuwait,Eastern Mediterranean,153900,36037.34,2826,427,942,220.58,5,2,Community transmission
Egypt,Eastern Mediterranean,148799,1454.05,7921,989,8142,79.56,401,57,Clusters of cases
Republic of Moldova,Europe,148669,36854.33,3411,375,3122,773.93,118,16,Community transmission
Qatar,Eastern Mediterranean,145672,50562.07,1432,206,246,85.39,1,0,Community transmission
Greece,Europe,143494,13766.98,4047,717,5195,498.41,314,49,Community transmission
Guatemala,Americas,143127,7988.97,4811,1063,4999,279.03,172,27,Community transmission
Slovenia,Europe,138518,66629.21,14175,3973,3141,1510.87,264,97,Clusters of cases
Ireland,Europe,135884,27519.22,42352,8227,2327,471.26,79,20,Community transmission
Malaysia,Western Pacific,133559,4126.52,16186,2451,542,16.75,59,5,Clusters of cases
Oman,Eastern Mediterranean,130070,25470.83,1203,0,1505,294.72,6,0,Community transmission
Myanmar,South-East Asia,130049,2390.18,4433,566,2826,51.94,115,14,Clusters of cases
Ethiopia,Africa,127572,1109.67,3308,345,1974,17.17,51,8,Community transmission
Honduras,Americas,126396,12761.33,3422,839,3266,329.75,106,22,Community transmission
Venezuela (Bolivarian Republic of),Americas,115667,4067.63,2105,345,1056,37.14,28,4,Community transmission
Bosnia and Herzegovina,Europe,114402,34869.95,2259,0,4264,1299.68,178,0,Community transmission
Paraguay,Americas,113994,15982.25,5645,1138,2372,332.56,110,20,Community transmission
Libya,Eastern Mediterranean,104002,15135.73,3258,0,1568,228.2,81,0,Community transmission
Algeria,Africa,101657,2318.23,2047,537,2798,63.81,42,12,Community transmission
Kenya,Africa,97954,1821.68,1496,221,1703,31.67,33,1,Community transmission
China,Western Pacific,97518,66.28,624,131,4798,3.26,7,2,Clusters of cases
Nigeria,Africa,97478,472.87,9968,1544,1342,6.51,53,12,Community transmission
Bahrain,Eastern Mediterranean,95317,56016.93,2133,287,355,208.63,3,1,Clusters of cases
North Macedonia,Europe,85594,41084.2,1851,100,2592,1244.13,82,11,Community transmission
Puerto Rico,Americas,82630,28882.99,4698,563,1616,564.87,90,24,Community transmission
Kyrgyzstan,Europe,82138,12589.75,924,147,1367,209.53,9,2,Clusters of cases
Uzbekistan,Europe,77530,2316.46,348,45,616,18.4,2,0,Clusters of cases
Republic of Korea,Western Pacific,68664,1339.28,5421,665,1125,21.94,163,25,Clusters of cases
Albania,Europe,62378,21675.61,3655,673,1230,427.41,44,7,Clusters of cases
Singapore,Western Pacific,58865,10061.8,203,29,29,4.96,0,0,Sporadic cases
Ghana,Africa,55461,1784.86,690,0,336,10.81,1,0,Community transmission
Norway,Europe,53792,9922.45,5514,825,471,86.88,35,4,Community transmission
Afghanistan,Eastern Mediterranean,53489,1374.04,780,89,2277,58.49,56,13,Clusters of cases
Kosovo[1],Europe,52900,28435.04,1441,0,1353,727.27,27,0,Community transmission
Montenegro,Europe,51610,82172.89,2431,0,718,1143.19,34,0,Clusters of cases
El Salvador,Americas,48574,7488.82,2332,319,1408,217.08,57,10,Community transmission
